,full_state,bill_name,legiscan_summary
0,Indiana,HB1407,"Parental rights. Provides that the state of Indiana, a political subdivision or other governmental entity of the state of Indiana, a government official, or any other person acting under the color of law shall not infringe on the fundamental right of a parent to direct the upbringing, education, health care, and mental health of the parent's child without demonstrating that the infringement: (1) is required by a compelling governmental interest of the highest order as long recognized in the history and traditions of the state of Indiana; and (2) as applied to the child, is narrowly tailored and not otherwise served by a less restrictive means. Creates a right of action for violation of a parent's rights with respect to the upbringing, education, and health care of the parent's child. Provides that a child is not a child in need of services due to the child's parent, guardian, or custodian: (1) referring to and raising the child consistent with the child's biological sex; or (2) declining to consent to the child receiving: (A) specified medication; (B) a medical procedure the purpose of which is to alter the apparent gender or sex of the child or affirm the child's perception of the child's gender or sex in a manner inconsistent with the child's biological sex; or (C) counseling or other mental health services the purpose of which is to affirm the child's perception of the child's gender or sex if the child's perception is inconsistent with the child's biological sex. Provides that if the juvenile court finds that a child is a child in need of services because the child substantially endangers the child's own or another's health, the court shall release the child to the child's parent, guardian, or custodian and may not enter a dispositional decree ordering removal of the child, unless: (1) the court also finds that the child is a child in need of services for another reason; or (2) the parent, guardian, or custodian consents to the child being removed from the child's home. Specifies that the parental rights and responsibilities do not: (1) authorize a parent to: (A) abuse or neglect a child; or (B) make the decision to end the child's life; or (2) prohibit a court from issuing an order that is otherwise permitted by law. Makes conforming changes."
0,Indiana,HB1569,"Restrictions on DOC provision of gender therapy. Provides that the department of correction may not authorize the payment of any money, the use of any state resources, or the payment of any federal money administered by the state to provide or facilitate the provision of sexual reassignment surgery to an offender patient."
0,Indiana,HB1589,Malpractice regarding gender therapeutics. Allows a claimant to bring a medical malpractice claim regarding gender transition treatment within 15 years after the individual becomes 21 years of age.
0,Indiana,HB1520,Use of public restrooms. Makes it a Class B misdemeanor if: (1) a male knowingly or intentionally enters a restroom that is designated to be used only by females; or (2) a female knowingly or intentionally enters a restroom that is designated to be used only by males. Provides for certain defenses.
0,Indiana,SB386,"Dignity and nondiscrimination in education. Provides that a school corporation or qualified school shall not promote certain concepts as part of a course of instruction or in a curriculum or instructional program, or allow teachers or other employees to use supplemental learning materials to promote certain concepts regarding age, sex, gender identity, sexual orientation, race, creed, color, marital status, familial status, mental or physical disability, religion, or national origin. Requires a request to meet with a teacher for certain complaints. Requires each school corporation or qualified school to establish grievance procedures for certain complaints. Provides that, if a parent of a student or a student, if the student is an adult or an emancipated minor, is not satisfied with a final decision, the parent or student may submit a request to the secretary of education (secretary) to review the complaint and decision. Provides that the secretary's decision is a final order and is appealable. Requires the department of education to create guidance materials and professional development materials for use by school corporations, qualified schools, and teachers."
0,Indiana,SB413,"Parental rights in education. Requires a governing body of a school corporation to adopt procedures to require schools to notify a parent of an unemancipated minor student regarding the: (1) student's services, support, or monitoring related to the student's social emotional, behavioral, mental, or physical health; or (2) school's ability to provide a safe and supportive learning environment for the student. Establishes requirements and restrictions regarding the procedures. Prohibits school corporation personnel or a third party vendor that contracts with a school corporation from providing instruction on sexual orientation or gender identity: (1) to any students of the school corporation enrolled in kindergarten through grade 12; or (2) in a manner that is not age appropriate or developmentally appropriate for students in accordance with state law. Establishes requirements regarding: (1) student support services training; (2) notifying parents of social emotional, behavioral, mental, and physical health services or support offered by a school corporation and the parent's option to withhold consent or decline any of those health services or support; and (3) administering a social emotional, behavioral, mental, or physical health personal analysis or evaluation, questionnaire, screening, survey, or assessment to an unemancipated minor student enrolled in kindergarten through grade 12. Requires a school corporation to notify the parent of each student enrolled in a school maintained by the school corporation if the school corporation permits a student of that school to use a multiple occupancy restroom or locker room that is designated for a sex that is not the student's biological sex. Requires a school corporation to: (1) establish a grievance procedure for a violation of the provisions; and (2) post the grievance procedure on the school corporation's website. Provides that a parent who is not satisfied with a decision by a school principal or principal's designee regarding a complaint by the parent may request the department of education (department) to review the complaint and decision. Provides that a parent of a student may bring a civil action against the school corporation for a violation of the provisions. Requires, not later than May 30, 2024, the department to adopt or update, as necessary and as approved by the state board of education, certain student services, personnel guidelines, standards, frameworks, practices, and principles."
0,Indiana,HB1608,"Education matters. Provides that a school, an employee or staff member of a school, or a third party vendor used by a school to provide instruction may not provide any instruction to a student in prekindergarten through grade 3 on human sexuality. Provides that a school employee or a school staff member is not prohibited from responding to a question from a student regarding certain topics. Requires certain schools to obtain consent from at least one parent of an unemancipated minor student regarding a request made by the student to change the student's name or pronoun, title, or word to identify the student. Provides that a school may not discipline an employee or staff member of the school for using a name, pronoun, title, or other word to identify a student that is consistent with the student's legal name if the employee or staff members does so out of a religious conviction."
0,Indiana,HB1346,"Gender fluidity. Provides that a school may not promote or encourage the use of, or require, compel, or coerce a student, an employee of the school, or a staff member of the school to use: (1) a pronoun, title, or other word to identify a student, school employee, or other individual that is inconsistent with the student's, employee's, or individual's biological sex; or (2) a name or nickname to identify a student that is inconsistent with the student's name on the student's birth certificate. Creates an exception. Provides that a school may not require an employee or a staff member of the school to adopt, support, or promote gender fluidity."
0,Indiana,HB1524,Birth certificate information. Provides that the gender listed on an individual's birth certificate and permanent record made from the birth certificate may not be changed. Specifies certain exceptions.
0,Indiana,SB487,"Preventing pregnancy in prison. Provides that the department of correction shall assign an offender, including a delinquent offender, to a facility or program that is based on the offender's biological sex at birth in accordance with the offender's genetics and reproductive biology."
0,Iowa,SF83,"A bill for an act relating to instruction relating to gender identity in the curriculum provided to students enrolled in kindergarten through grade eight in school districts, accredited nonpublic schools, and charter schools and creating a private cause of action."
0,Iowa,HF8,A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade three.(See HF 348.)
0,Iowa,HF9,A bill for an act relating to parental and guardian consent and information regarding the gender identity of students enrolled in a school district or charter school.(See HF 180.)
0,Iowa,SF110,"A bill for an act relating to gender-transition procedures, and including effective date provisions."
0,Iowa,SF129,"A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties."
0,Iowa,SF159,"A bill for an act relating to education, including modifying the responsibilities of the state board of education and school districts, prohibiting instruction related to gender identity or sexual orientation in school districts and charter schools in kindergarten through grade eight, modifying provisions associated with the human growth and development instruction and health screenings provided in school districts, charter schools, and innovation zone schools, and providing civil penalties."
0,Iowa,HF180,A bill for an act relating to parental and guardian consent and information regarding the gender identity of students enrolled in a school district or charter school.(Formerly HF 9.)
0,Iowa,HF190,A bill for an act relating to gender under the Iowa civil rights Act.
0,Iowa,SF212,"A bill for an act prohibiting discrimination against adoption and foster care providers, or adoptive and foster parents, based on religious belief."
0,Iowa,HF229,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
0,Iowa,HF325,A bill for an act relating to gender identity and sex under the Iowa civil rights Act.
0,Iowa,HF290,"A bill for an act relating to the terms gender and sex, including a person's sex designation listed on government documents."
0,Iowa,SSB1145,"A bill for an act relating to children and students, including establishing a parent's or guardian's right to make decisions affecting the parent's or guardian's child, modifying provisions related to student health screenings and the curriculum in school districts, accredited nonpublic schools, and charter schools, other duties of school districts, competent private instruction, and special education, making appropriations, and providing civil penalties.(See SF 496.)"
0,Iowa,SF335,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities and other facilities in elementary and secondary schools that do not correspond with the person's biological sex and including effective date provisions.(See SF 482.)
0,Iowa,SF297,A bill for an act relating to the protection of religious beliefs and moral convictions of health care providers and health care facilities.
0,Iowa,HF348,A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade six. (Formerly HF 8.)
0,Iowa,SF348,"A bill for an act relating to minors present at drag shows, and providing penalties."
0,Iowa,SSB1197,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(See SF 538.)"
0,Iowa,HSB214,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(See HF 623.)"
0,Iowa,HSB222,"A bill for an act relating to children and students, including establishing a parent's or guardian's right to make decisions affecting the parent's or guardian's child, modifying provisions related to student health screenings and the curriculum in school districts, accredited nonpublic schools, and charter schools, other duties of school districts, competent private instruction, and special education, making appropriations, and providing civil penalties."
0,Iowa,HF482,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.
0,Iowa,HSB208,"A bill for an act permitting public schools to designate and allow the use of restrooms and changing facilities only by persons of the same biological sex, and providing a private cause of action.(See HF 622.)"
0,Iowa,HF508,A bill for an act protecting religious liberty and state sovereignty relating to marriage.
0,Iowa,HF622,"A bill for an act permitting public schools to designate and allow the use of restrooms and changing facilities only by persons of the same biological sex, and providing a private cause of action.(Formerly HSB 208.)"
0,Iowa,SF496,"A bill for an act relating to children and students, including establishing a parent's or guardian's right to make decisions affecting the parent's or guardian's child, prohibiting instruction related to gender identity and sexual orientation in school districts, charter schools, and innovation zone schools in kindergarten through grade six, and modifying provisions related to student health screenings, school district library programs, the educational program provided to students enrolled in school districts, accredited nonpublic schools, and charter schools, other duties of school districts and the governing boards of charter schools and innovation zone schools, competent private instruction, and special education. (Formerly SSB 1145.)"
0,Iowa,SF482,A bill for an act prohibiting persons from entering single and multiple occupancy restrooms or changing areas and other facilities in elementary and secondary schools that do not correspond with the person's biological sex and including effective date provisions. (Formerly SF 335.) Effective date: 03/22/2023.
0,Iowa,HF623,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(Formerly HSB 214.)"
0,Iowa,HF616,"A bill for an act prohibiting institutions of higher learning governed by the state board of regents from expending moneys to fund diversity, equity, and inclusion offices or to hire individuals to serve as diversity, equity, and inclusion officers, creating a private cause of action, and including effective date provisions.(Formerly HSB 218.)"
0,Iowa,SF538,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions. (Formerly SSB 1197.) Effective date: 03/22/2023. Contingent applicability date."
0,Kansas,SB12,Enacting the Kansas child mutilation prevention act to criminalize performing gender reassignment surgery or prescription of hormone replacement therapy on certain persons and providing grounds for unprofessional conduct for healing arts licensees.
0,Kansas,HB2238,Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.
0,Kansas,SB149,Expanding the crime of promoting obscenity to minors to include drag performances.
0,Kansas,SB180,Establishing the women's bill of rights to provide a meaning of biological sex for purposes of statutory construction.
0,Kansas,SB201,Prohibiting the expenditure of state moneys for the production or performance of drag shows for which minors are the primary audience.
0,Kansas,SB207,Requiring policies for and establishing restrictions on school districts with regard to the use of an individual's pronouns if such pronouns differ from the individual's biological sex.
0,Kansas,SB224,"Enacting the Kansas protection of pensions and businesses against ideological interference act, relating to ideological boycotts involving environmental, social or governance standards, requiring KPERS to divest from and prohibiting state contracts or the deposit of state moneys with entities engaged in such boycotts as determined by the state treasurer and prohibiting discriminatory practices in the financial services industry based on such boycotts."
0,Kansas,SB233,Creating a civil cause of action against a physician who performs childhood gender reassignment service and requiring revocation of a physician's license who performs childhood gender reassignment service.
0,Kansas,HB2404,"Enacting the Kansas protection of pensions and businesses against ideological interference act, relating to ideological boycotts involving environmental, social or governance standards, requiring KPERS to divest from and prohibiting state contracts or the deposit of state moneys with entities engaged in such boycotts as determined by the state treasurer and prohibiting discriminatory practices in the financial services industry based on such boycotts."
0,Kansas,SB255,Requiring school districts to provide separate accommodations for students of each biological sex on overnight school sponsored trips.
0,Kansas,HB2427,Requiring school districts to provide separate accommodations for students of each biological sex on overnight school sponsored trips.
0,Kansas,SB228,"Requiring the secretary for aging and disability services to reimburse counties for certain costs when a person is in a county jail awaiting examination, evaluation or treatment for competency, modernizing statutes concerning county jails, removing the requirement that every county shall have a jail, modifying procedures used when district courts commit prisoners to jail in another county and when counties contract with city jails to keep prisoners and requiring a medical examination before certain United States prisoners or city prisoners are taken into custody of a county jail."
0,Kansas,HB2263,"Authorizing pharmacy technicians to administer certain vaccines, creating a civil cause of action against a physician and requiring revocation of a physician's license who performs a childhood gender reassignment service."
0,Kentucky,HB120,"Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; prohibit a person or entity from aiding or abetting the performance or inducement of gender transition procedures to a child under the age of 18 years, but exempt speech protected by the First Amendment to the Constitution of the United States and exempt a parent of such child; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of Subtitle 17A of KRS Chapter 304 to prohibit health benefit plan coverage, including federal government health plans, for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; amend KRS 141.019 and 141.039 to prohibit tax exemption for gender transition procedures; establish a short title of Kentucky's Children Deserve Help Not Harm Act; EFFECTIVE January 1, 2024."
0,Kentucky,HB58,Create new sections of KRS Chapter 344 to define terms; prohibit discrimination against medical care providers who decline to perform procedures that violate their conscience; grant providers the right not to participate in or pay for services that violate their conscience; exempt providers from liability for exercising these rights; establish a civil cause of action for persons injured by violations of these provisions; EMERGENCY.
0,Kentucky,HB30,"Create new sections of KRS Chapter 158 to define terms; establish legislative findings; ensure that student privacy exists in school restrooms, locker rooms, and shower rooms; require students born male to use only those facilities designated to be used by males and students born female to use only those facilities designated to be used by females; require schools to provide the best available accommodation to students who assert that their gender is different from their biological sex; identify consequences for using facilities designated for the opposite biological sex; EMERGENCY."
0,Kentucky,HB177,"Create new sections of KRS Chapter 405 to establish definitions; provide for parental rights; establish that no governmental entity shall substantially burden the rights of parents unless required by a compelling governmental interest of the highest order and in the least restrictive means; establish specific rights of parents, with some limitations; provide that specific governmental employees shall not encourage or coerce a child to withhold information from a parent; recognize additional rights beyond those enumerated; require local boards of education or boards of directors of public charter schools to adopt specific policies to promote involvement of parents in education; allow the Kentucky Department of Education to provide consultation and model policies that shall not be binding on schools; require a report from the Kentucky Department of Education on the consultation and model policies provided to schools; require obtaining parental consent prior to procuring, soliciting to perform, arranging for the performance of, providing a referral for, or providing medical or mental health services to a child; require verification of identity for remote parental consent; establish limits of the applicability of the requirement; establish a cause of action for violation; establish terms and conditions for the cause of action; waive sovereign, governmental, and qualified immunity; specify applicability; amend KRS 160.715 to provide a procedure for requesting, inspecting, and reviewing specific information held by a school district or public charter school; and amend KRS 214.185 to establish the conditions required for providing medical or mental health services to a minor without consent of the parent or legal guardian; EMERGENCY."
0,Kentucky,SB102,"Create new sections of KRS Chapter 158 to define terms; make legislative findings and declarations on the rights of parents as it relates to public schools and establish a standard to protect those rights; require public schools to establish a process to receive complaints of violations; create a cause of action for violations and establish limitations; establish specific parental rights as related to public schools; require public schools to adopt policies to protect those rights; require the Kentucky Department of Education to eliminate administrative regulations in violation and develop recommended policies to public schools for compliance; make findings and declarations related to privacy of parents and children and require public schools to adopt policies to safeguard those rights; establish a cause of action for a child encountering a person of the opposite biological sex while in a location where there is a reasonable expectation of bodily privacy; create a cause of action for those who are forced by a public school to share private quarters with specific people of the opposite biological sex and provide exclusions; make findings and declarations relating to controversial subject matter in common schools; establish a parental right of not having a child indoctrinated into any political position or being involved in advocacy in a controversial subject matter; establish limitations on school personnel related to instruction and discussion on sexual orientation, sexual preference, or gender expression; establish limitations on school personnel advocacy in the scope of employment and actions based on the immutable characteristics of students; prohibit compelling school personnel to advocate for or against anything in opposition to sincerely held beliefs and convictions; require public schools to adopt enforcement policies; establish limitations; establish a parental right to expect a child not be exposed to or given access to harmful to minors, pervasively vulgar, or obscene matter or performance or obscene imagery representing minors; require that public schools adopt policies to protect that right by making those materials and performances inaccessible and prohibit matters and performances harmful to minors, drag performances, pervasively vulgar performances, obscene performances, and any performance involving sexual conduct, nudity, or stripping; provide that none of the materials identified shall be deemed to have educational value for minors; establish limitations; amend KRS 158.148 to establish a parental right to expect a child will not be bulled at school and require public schools adopt policies to ensure notification and support of bullying victims, require an order of reporting to staff, require specific time requirements for investigations; provide for an appeal and review of incidents; require identification of actions to prevent future acts of bullying or retaliation; require procedures for supporting victims; establish a short title of the Childhood Protection in Education Act."
0,Kentucky,SB150,"Create a new section of KRS Chapter 158 to establish definitions; require specific parental notifications from public schools; require school districts to adopt specific procedures related to parental rights; limit authority of the Kentucky Board of Education and Kentucky Department of Education in relation to parental rights and a student's use of pronouns; prohibit district or school policies with the intent of keeping student information confidential for parents; prohibit a school district from requiring school personnel or pupils to use pronouns for students that do not conform to that student's biological sex; provide school districts and district personnel authority to seek emergency medical services for a student; provide conditions for student confidentiality; amend KRS 158.1415 to establish requirements for any public school's course, curriculum, or program on the subject of human sexuality."
0,Kentucky,SB115,Create new sections of KRS Chapter 231 to express the findings of the General Assembly relating to adult-oriented businesses and the need for regulation; define terms; establish distance parameters for the location of adult-oriented businesses in proximity to identified entities and locations; establish transition provisions for existing businesses; affirm the authority of local governmental units to supplement regulation of adult-oriented businesses.
0,Kentucky,SB145,Amend KRS 156.070 to remove the statutory eligibility restriction for nonresident student participation in interscholastic athletics; retain eligibility authority with the agency designated to manage interscholastic athletics.
0,Kentucky,HB470,"Create new sections of KRS Chapter 311 to define terms; state that the provision of gender transition services to a person under the age of 18 years by a health care provider or mental health care provider is unethical and unprofessional conduct; require an investigation of any report of provision of gender transition services to a person under the age of 18 years; require revocation of the provider's license if confirmed and termination of public funding for a public employee; require that providers be jointly and severally liable for all damages and costs sustained for providing gender transition services or aiding and assisting a person under the age of 18 years to consider or to obtain gender transition services; provide defense to providers refusing to provide services; make failure to report provision of gender transition services a crime; permit an action on a violation to be taken by the parent or guardian of a person before the person attains the age of 18 years and by the person within 30 years of the person attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit use of public funds for gender transition services; prohibit a provider employed by a public agency to provide include gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit intervention as a matter of right if these provisions are challenged; prohibit a public provider from intervening in a legal proceeding in defense of the provision of gender transition services; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a person under age 18 years; create a new section of Subtitle12 of KRS Chapter 304 to establish liability provisions if an insurer elects to cover gender transition services; amend KRS 18A.225 to prohibit a fully insured benefit plan or self-insured plan for public employees from covering gender transition services for a person under the age of 18 years; amend KRS 454.210 to add to court permission to exercise personal jurisdiction over a person who acts directly or by an agent, as to a claim arising from the person's engaging in the provision of gender transition services to a person under the age of 18 years; create a new section of KRS Chapter 158 to prohibit a public school counselor, school-based mental health services provider, or other public employee from aiding or assisting in the provision of gender transition services for a person under the age of 18 years; establish liability provisions; require school notification of parents of child's expression of sex or gender inconsistency with exceptions; amend KRS 141.039 to require that corporate income relating to the provision of gender transition services to a person under age 18 years be added to net income; amend KRS 213.121 to prohibit a registered certificate or report from being amended if the purpose is to assist with a social or physical gender transition; amend KRS 401.020 to prohibit a court to order a name change if the purpose is to assist with a social or physical gender transition; create a new section of KRS Chapter 600 to prohibit the Department of Juvenile Justice from classifying a detainee by a sex that is inconsistent with defined sex; allow the Act to be cited as the Do No Harm Act; EFFECTIVE January 1, 2024."
0,Kentucky,HB585,"Amend KRS 213.046, 213.056, and 213.071 to require the biological sex designation on a birth certificate to be either male or female and prohibit a nonbinary or any symbol representing a nonbinary designation including the letter ""X."""
0,Louisiana,HB81,Provides relative to the use of certain names and pronouns for students
0,Maine,HP447,FILL MANUALLY
0,Maine,LD678,FILL MANUALLY
0,Maine,HP577,FILL MANUALLY
0,Maine,LD930,FILL MANUALLY
0,Maryland,HB359,Requiring certain interscholastic and intramural junior varsity and varsity athletic teams or sports sponsored by certain schools to be expressly designated based on biological sex; prohibiting certain entities from taking certain adverse actions against a school or county board of education for maintaining separate interscholastic and intramural junior varsity and varsity athletic teams and sports for students of the female sex; and providing that certain individuals have the right to bring a civil action under certain circumstances.
0,Massachusetts,H509,Relative to parental options of enrolling children in elective courses involving sexual education rather than opting out of mandatory courses. Education.
0,Massachusetts,H458,Relative to parental rights in education. Education.
0,Michigan,HB4075,Civil rights: religious discrimination; Michigan religious freedom restoration act; create. Creates new act.
0,Michigan,HB4195,Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.
0,Michigan,HB4257,Crimes: penalties; penalties for parents or guardians who procure gender transition surgeries or irreversible hormonal procedures for children under 18; provide for. Amends sec. 136b of 1931 PA 328 (MCL 750.136b).
0,Minnesota,HF551,Female sports team participation restricted to female sex.
0,Minnesota,SF724,Participation in athletic teams provision
0,Minnesota,SF933,Drag performances as adult entertainment classification; location restrictions on adult entertainment establishment
0,Minnesota,HF1086,Education; participation in athletic teams provided.
0,Minnesota,HF1903,"Drag performances classified as adult entertainment, and location restrictions of an adult entertainment establishment expanded."
0,Minnesota,HF3022,Student welfare and parental awareness in education provided.
0,Mississippi,SB2864,"An Act To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Any Entity For Part Or All Of The Costs Of Care And Services Rendered For Gender Reassignment Surgery Or Services; To Create New Section 83-9-401, Mississippi Code Of 1972, To Prohibit Health Coverage Plans That Are Funded Wholly Or In Part By State Funds Or State-employee Contributions From Reimbursing Or Authorizing Payment Of Part Or All Of The Costs Of Care And Services Rendered By Any Entity For Gender Reassignment Surgery Or Services; And For Related Purposes."
0,Mississippi,HB1127,"An Act To Be Known As The Mississippi Save Adolescents From Experimentation (safe) Act; To Provide Legislative Findings Regarding The Risks Of Gender Transition Procedures For Minors; To Provide Definitions Of Certain Terms; To Prohibit Physicians And Other Health Care Professionals From Providing Gender Transition Procedures To Any Person Under Eighteen Years Of Age; To Prohibit Physicians And Other Health Care Professionals From Referring Any Person Under Eighteen Years Of Age To Any Health Care Professional For Gender Transition Procedures; To Provide For Certain Exceptions To Those Prohibitions; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Eighteen Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Provide That Any Referral For Or Provision Of Gender Transition Procedures To A Person Under Eighteen Years Of Age By A Physician Or Other Health Care Professional Is Unprofessional Conduct And Is Subject To Discipline By The Appropriate Licensing Entity For The Health Care Professional; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, And Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Eighteen Years Of Age, And Is Not Required To Provide Coverage For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; And For Related Purposes."
0,Mississippi,HB1125,"An Act To Create The ""regulate Experimental Adolescent Procedures (reap)"" Act For Any Person Under Eighteen Years Of Age; To Provide Definitions For The Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Eighteen Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Health Coverage Plans Are Not Required To Include Gender Transition Procedures; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Exclude The Performance Gender Transition Procedures From The ""practice Of Medicine"" Meaning; To Amend Section 11-46-5, Mississippi Code Of 1972, To Exclude From Tort Immunity Violations Of This Act; To Amend Section 41-41-219, Mississippi Code Of 1972, To Conform To The Preceding Section; To Provide Severability If Any Part Of This Act Is Found Unconstitutional; And For Related Purposes."
0,Mississippi,HB456,"An Act To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Gender Reassignment; And For Related Purposes."
0,Mississippi,HB576,"An Act To Be Known As The Mississippi Help Not Harm Act; To Create New Section 11-77-1, Mississippi Code Of 1972, To Define Terms; To Create New Section 11-77-3, Mississippi Code Of 1972, To Prohibit Any Person From Knowingly Performing Or Providing Gender Reassignment Surgery Or Services To A Minor; To Provide That Any Licensed Medical Professional Who Performs Or Provides Gender Reassignment Surgery Or Services To A Minor Shall Have His Or Her License Revoked; To Provide A Private Cause Of Action Against A Physician, Osteopath, Hospital, Prescribing Caregiver, Clinic And Any Other Health Care Facility For Injuries Arising Out Of The Course Of Medical, Surgical Or Other Professional Services Related To The Performance Of Gender Reassignment Surgery Or Services; To Provide That This Claim Must Be Brought Within Thirty Years From The Date That The Alleged Act Occurred; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Section; To Provide That This Section Does Not Apply To Certain Services, Treatments And Procedures; To Amend Section 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Revise The Definition Of The Practice Of Medicine To Exclude Gender Reassignment Surgery Or Services For Minors; To Amend Section 11-46-5, Mississippi Code Of 1972, To Provide That Under The Tort Claims Act An Employee Shall Not Be Considered As Acting Within The Course And Scope Of His Or Her Employment And A Governmental Entity May Be Liable Or Be Considered To Have Waived Immunity For Any Conduct Of Its Employee If The Employee's Conduct Violated The Provisions Of This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Any Entity For Part Or All Of The Costs Of Care And Services Rendered For Gender Reassignment Surgery Or Services; To Create New Section 83-9-401, Mississippi Code Of 1972, To Prohibit Health Coverage Plans That Are Funded Wholly Or In Part By State Funds Or State-employee Contributions From Reimbursing Or Authorizing Payment Of Part Or All Of The Costs Of Care And Services Rendered By Any Entity For Gender Reassignment Surgery Or Services; To Amend Section 11-1-60, Mississippi Code Of 1972, To Provide That In Any Cause Of Action Filed On Or After July 1, 2023, For A Claim Brought Under Section 11-77-3, If The Trier Of Fact Finds The Defendant Liable, There Shall Not Be A Limitation Placed On The Noneconomic Damages Award That A Trier Of Fact May Award To The Plaintiff; And For Related Purposes."
